TrdDt,ClPr
2017/5/19,278.6
2017/5/22,279.68
2017/5/23,281.17
2017/5/24,278.4
2017/5/25,279.79
2017/5/26,280.35
2017/5/31,278.75
2017/6/1,278.89
2017/6/2,277.97
2017/6/5,281.35
2017/6/6,283.39
2017/6/7,283.57
2017/6/8,282.66
2017/6/9,279.96
2017/6/12,278.45
2017/6/13,278.22
2017/6/14,279.15
2017/6/15,277.35
2017/6/16,276.85
2017/6/19,276.23
2017/6/20,275.74
2017/6/21,275.67
2017/6/22,277.35
2017/6/23,277.8
2017/6/26,277.99
2017/6/27,276.56
2017/6/28,276.1
2017/6/29,274.91
2017/6/30,273.06
2017/7/3,271.94
2017/7/4,270.24
2017/7/5,269.98
2017/7/6,270.07
2017/7/7,269.74
2017/7/10,265.8
2017/7/11,267.31
2017/7/12,268.22
2017/7/13,268.78
2017/7/14,267.79
2017/7/17,270.12
2017/7/18,270.63
2017/7/19,271.31
2017/7/20,271.23
2017/7/21,272.99
2017/7/24,273.2
2017/7/25,274
2017/7/26,271.84
2017/7/27,274.52
2017/7/28,274.11
2017/7/31,274.93
2017/8/1,275.2
2017/8/2,274.91
2017/8/3,273.82
2017/8/4,275.45
2017/8/7,273.04
2017/8/8,273.05
2017/8/9,273.93
2017/8/10,275.02
2017/8/11,276.7
2017/8/14,276.64
2017/8/15,274.83
2017/8/16,274.25
2017/8/17,277.16
2017/8/18,278.04
2017/8/21,277.49
2017/8/22,276.25
2017/8/23,276.97
2017/8/24,277.02
2017/8/25,276.91
2017/8/28,278.15
2017/8/29,280.5
2017/8/30,278
2017/8/31,277.66
2017/9/1,279.85
2017/9/4,282.04
2017/9/5,281.4
2017/9/6,281.92
2017/9/7,281.29
2017/9/8,281.36
2017/9/11,280.93
2017/9/12,279.48
2017/9/13,280.34
2017/9/14,279.49
2017/9/15,280.71
2017/9/18,278.56
2017/9/19,278.46
2017/9/20,278.66
2017/9/21,276.05
2017/9/22,276.85
2017/9/25,276.23
2017/9/26,280.2
2017/9/27,277.73
2017/9/28,276.48
2017/9/29,277.62
2017/10/9,275.44
2017/10/10,275.55
2017/10/11,275
2017/10/12,276.13
2017/10/13,276.3
2017/10/16,277.5
2017/10/17,276.32
2017/10/18,275.3
2017/10/19,274.6
2017/10/20,275
2017/10/23,273.79
2017/10/24,274.57
2017/10/25,273.45
2017/10/26,274.56
2017/10/27,272.77
2017/10/30,273.05
2017/10/31,273.73
2017/11/1,273.15
2017/11/2,273.1
2017/11/3,273.3
2017/11/6,272.94
2017/11/7,274.22
2017/11/8,274.51
2017/11/9,275.34
2017/11/10,275.91
2017/11/13,274.73
2017/11/14,274.45
2017/11/15,275.05
2017/11/16,274
2017/11/17,274.86
2017/11/20,276.35
2017/11/21,274.74
2017/11/22,274.63
2017/11/23,274.99
2017/11/24,275.15
2017/11/27,275.2
2017/11/28,275.67
2017/11/29,275.61
2017/11/30,274.13
2017/12/1,272.67
2017/12/4,272.37
2017/12/5,272.61
2017/12/6,271.22
2017/12/7,269.2
2017/12/8,267.48
2017/12/11,268.05
2017/12/12,267.11
2017/12/13,266.77
2017/12/14,269.58
2017/12/15,269.34
2017/12/18,269.59
2017/12/19,270.95
2017/12/20,270.23
2017/12/21,269.95
2017/12/22,270.32
2017/12/25,271.7
2017/12/26,271.6
2017/12/27,272.83
2017/12/28,273.48
2017/12/29,273.24
2018/1/2,275.07
2018/1/3,276.02
2018/1/4,275.28
2018/1/5,276.39
2018/1/8,276.6
2018/1/9,277.1
2018/1/10,276.73
2018/1/11,277.29
2018/1/12,278.35
2018/1/15,284.41
2018/1/16,278.81
2018/1/17,277.68
2018/1/18,276.14
2018/1/19,275.68
2018/1/22,275.85
2018/1/23,277
2018/1/24,277.7
2018/1/25,278.76
2018/1/26,277.31
2018/1/29,275.98
2018/1/30,273.9
2018/1/31,273.82
2018/2/1,273.22
2018/2/2,273.72
2018/2/5,271.26
2018/2/6,273.1
2018/2/7,269.67
2018/2/8,269.03
2018/2/9,269.61
2018/2/12,269.77
2018/2/13,270.95
2018/2/14,272.82
2018/2/22,271.32
2018/2/23,271.51
2018/2/26,273.4
2018/2/27,272.05
2018/2/28,269.97
2018/3/1,269.53
2018/3/2,270.66
2018/3/5,271.79
2018/3/6,271.33
2018/3/7,272.17
2018/3/8,271.98
2018/3/9,270.4
2018/3/12,270.7
2018/3/13,270.48
2018/3/14,271
2018/3/15,270.79
2018/3/16,269.72
2018/3/19,268.22
2018/3/20,269.43
2018/3/21,269.5
2018/3/22,272.02
2018/3/23,274.75
2018/3/26,274.29
2018/3/27,274.15
2018/3/28,272.44
2018/3/29,269.6
2018/3/30,269.95
2018/4/2,270.37
2018/4/3,272.32
2018/4/4,271.82
2018/4/9,271.4
2018/4/10,271.57
2018/4/11,273.1
2018/4/12,274.12
2018/4/13,271.85
2018/4/16,272.2
2018/4/17,273.32
2018/4/18,273.19
2018/4/19,274
2018/4/20,272.95
2018/4/23,271.45
2018/4/24,270.73
2018/4/25,270.51
2018/4/26,271
2018/4/27,270.18
2018/5/2,269.38
2018/5/3,269.26
2018/5/4,269.3
2018/5/7,270.08
2018/5/8,270.05
2018/5/9,269.33
2018/5/10,269.95
2018/5/11,270.5
2018/5/14,270.3
2018/5/15,269.15
2018/5/16,266.82
2018/5/17,265.13
2018/5/18,265.68
2018/5/21,264.95
2018/5/22,265.71
2018/5/23,266.31
2018/5/24,267.32
2018/5/25,268.75
2018/5/28,267.3
2018/5/29,268.5
2018/5/30,269
2018/5/31,269.54
2018/6/1,269.63
2018/6/4,267.75
2018/6/5,267.3
2018/6/6,267.77
2018/6/7,267.75
2018/6/8,267.84
2018/6/11,268.27
2018/6/12,268.2
2018/6/13,267.81
2018/6/14,268.56
2018/6/15,268.97
2018/6/19,267.45
2018/6/20,266
2018/6/21,265.39
2018/6/22,266.45
2018/6/25,266.99
2018/6/26,267.17
2018/6/27,267.5
2018/6/28,266.88
2018/6/29,266.92
2018/7/2,268
2018/7/3,267.85
2018/7/4,268.49
2018/7/5,268.58
2018/7/6,269.22
2018/7/9,269.19
2018/7/10,268.3
2018/7/11,269
2018/7/12,267.96
2018/7/13,267.82
2018/7/16,268.15
2018/7/17,267.82
2018/7/18,265.15
2018/7/19,266.1
2018/7/20,266.95
2018/7/23,268.26
2018/7/24,268.04
2018/7/25,268.01
2018/7/26,268.62
2018/7/27,268.46
2018/7/30,268.56
2018/7/31,268.65
2018/8/1,268.45
2018/8/2,268.01
2018/8/3,267.66
2018/8/6,267.52
2018/8/7,267.61
2018/8/8,267.01
2018/8/9,267.17
2018/8/10,267.03
2018/8/13,267.78
2018/8/14,265.54
2018/8/15,265
2018/8/16,262.22
2018/8/17,261.5
2018/8/20,262.93
2018/8/21,264.36
2018/8/22,264.2
2018/8/23,264.25
2018/8/24,264.55
2018/8/27,265.39
2018/8/28,266.4
2018/8/29,265.3
2018/8/30,265.52
2018/8/31,266.15
2018/9/3,264.96
2018/9/4,264
2018/9/5,263.91
2018/9/6,264.59
2018/9/7,265.28
2018/9/10,264.77
2018/9/11,265.38
2018/9/12,265.06
2018/9/13,266.21
2018/9/14,266.66
2018/9/17,265.53
2018/9/18,265.73
2018/9/19,266.44
2018/9/20,266.51
2018/9/21,267.32
2018/9/25,266.34
2018/9/26,266.81
2018/9/27,265.86
2018/9/28,263.61
2018/10/8,266.88
2018/10/9,266.48
2018/10/10,266.44
2018/10/11,268.1
2018/10/12,271.58
2018/10/15,273.93
2018/10/16,274.28
2018/10/17,273.4
2018/10/18,273.46
2018/10/19,274.9
2018/10/22,274.68
2018/10/23,276.18
2018/10/24,276.3
2018/10/25,277.6
2018/10/26,277.27
2018/10/29,276.57
2018/10/30,276.2
2018/10/31,273.98
2018/11/1,274.6
2018/11/2,274.56
2018/11/5,275.06
2018/11/6,274.65
2018/11/7,274.97
2018/11/8,273.81
2018/11/9,273.33
2018/11/12,271.27
2018/11/13,270.32
2018/11/14,270.14
2018/11/15,271.71
2018/11/16,272.38
2018/11/19,273.18
2018/11/20,274.13
2018/11/21,273.99
2018/11/22,274.56
2018/11/23,274.58
2018/11/26,274.65
2018/11/27,274.13
2018/11/28,272.93
2018/11/29,274.5
2018/11/30,274.61
2018/12/3,273.94
2018/12/4,273.71
2018/12/5,274.05
2018/12/6,275.23
2018/12/7,275.36
2018/12/10,278.18
2018/12/11,277.72
2018/12/12,276.62
2018/12/13,276.61
2018/12/14,276.58
2018/12/17,276.1
2018/12/18,277.86
2018/12/19,278.35
2018/12/20,278.14
2018/12/21,280.49
2018/12/24,281.71
2018/12/25,283.25
2018/12/26,283.55
2018/12/27,282.61
2018/12/28,283.81
2019/1/2,284.92
2019/1/3,287
2019/1/4,287.27
2019/1/7,285.93
2019/1/8,284.24
2019/1/9,283.75
2019/1/10,284.42
2019/1/11,282.71
2019/1/14,283.2
2019/1/15,282.15
2019/1/16,282.8
2019/1/17,283.04
2019/1/18,283.25
2019/1/21,282.19
2019/1/22,282.2
2019/1/23,282.2
2019/1/24,282.18
2019/1/25,281.72
2019/1/28,284.4
2019/1/29,285.92
2019/1/30,286.49
2019/1/31,286.46
2019/2/1,287.3
2019/2/11,287.3
2019/2/12,287.66
2019/2/13,287.15
2019/2/14,286.74
2019/2/15,288.25
2019/2/18,289.96
2019/2/19,290.39
2019/2/20,292.26
2019/2/21,290.63
2019/2/22,288.73
2019/2/25,288.29
2019/2/26,288
2019/2/27,287.7
2019/2/28,285.92
2019/3/1,284.61
2019/3/4,280.6
2019/3/5,279.43
2019/3/6,281.34
2019/3/7,279.8
2019/3/8,282.4
2019/3/11,283.55
2019/3/12,283.06
2019/3/13,284.57
2019/3/14,284
2019/3/15,284.04
2019/3/18,283.99
2019/3/19,285.08
2019/3/20,284.53
2019/3/21,286.39
2019/3/22,285.83
2019/3/25,287.03
2019/3/26,287.24
2019/3/27,287.13
2019/3/28,286.27
2019/3/29,281.33
2019/4/1,281.2
2019/4/2,281.42
2019/4/3,281.86
2019/4/4,282.1
2019/4/8,283.5
2019/4/9,283.6
2019/4/10,284.8
2019/4/11,285.3
2019/4/12,283.12
2019/4/15,281.29
2019/4/16,281.17
2019/4/17,279.73
2019/4/18,277.94
2019/4/19,279.35
2019/4/22,279.92
2019/4/23,278.89
2019/4/24,278.29
2019/4/25,279.92
2019/4/26,280.6
2019/4/29,280.65
2019/4/30,280.58
2019/5/6,282.2
2019/5/7,281.55
2019/5/8,282.91
2019/5/9,283
2019/5/10,283.08
2019/5/13,285.01
2019/5/14,288.38
2019/5/15,287.32
2019/5/16,288.61
2019/5/17,288.04
2019/5/20,286.5
2019/5/21,286.43
2019/5/22,286.14
2019/5/23,286.72
2019/5/24,288.17
2019/5/27,288.25
2019/5/28,288.1
2019/5/29,288.5
2019/5/30,287.18
2019/5/31,290.55
2019/6/3,293.94
2019/6/4,296.96
2019/6/5,298.95
2019/6/6,299.12
2019/6/10,298.34
2019/6/11,297.06
2019/6/12,299.81
2019/6/13,300.14
2019/6/14,305.02
2019/6/17,301.47
2019/6/18,303.5
2019/6/19,301.9
2019/6/20,308.53
2019/6/21,311.19
2019/6/24,313.2
2019/6/25,319.02
2019/6/26,314.4
2019/6/27,313.29
2019/6/28,314
2019/7/1,306.61
2019/7/2,309.53
2019/7/3,318.23
2019/7/4,314.9
2019/7/5,315.74
2019/7/8,313.22
2019/7/9,311.25
2019/7/10,310.81
2019/7/11,316.6
2019/7/12,313.8
2019/7/15,315.15
2019/7/16,315
2019/7/17,313.56
2019/7/18,316.72
2019/7/19,320.65
2019/7/22,318.01
2019/7/23,316.39
2019/7/24,317.21
2019/7/25,317.82
2019/7/26,316.6
2019/7/29,317.01
2019/7/30,318.33
2019/7/31,319.5
2019/8/1,314.55
2019/8/2,322.27
2019/8/5,332.2
2019/8/6,333
2019/8/7,340
2019/8/8,341.48
2019/8/9,343.37
2019/8/12,341.58
2019/8/13,349.5
2019/8/14,340.45
2019/8/15,344.11
2019/8/16,345.38
2019/8/19,343.97
2019/8/20,342.3
2019/8/21,342.97
2019/8/22,343.92
2019/8/23,343.36
2019/8/26,354.92
2019/8/27,355.9
2019/8/28,356.76
2019/8/29,359.04
2019/8/30,354.19
2019/9/2,353
2019/9/3,354.9
2019/9/4,357.77
2019/9/5,357.55
2019/9/6,349.04
2019/9/9,348.15
2019/9/10,342.3
2019/9/11,343.83
2019/9/12,343.57
2019/9/16,344.5
2019/9/17,343.11
2019/9/18,344.64
2019/9/19,343.77
2019/9/20,344.93
2019/9/23,348.65
2019/9/24,349.69
2019/9/25,352
2019/9/26,347.5
2019/9/27,344.95
2019/9/30,342.81
2019/10/8,342.89
2019/10/9,347.98
2019/10/10,345.74
2019/10/11,344.02
2019/10/14,339.47
2019/10/15,340.54
2019/10/16,339.97
2019/10/17,341.2
2019/10/18,340.56
2019/10/21,340.54
2019/10/22,339.42
2019/10/23,340.65
2019/10/24,340.07
2019/10/25,343.46
2019/10/28,343.49
2019/10/29,339.99
2019/10/30,339.39
2019/10/31,340.06
2019/11/1,342.83
2019/11/4,342.3
2019/11/5,340.29
2019/11/6,335.73
2019/11/7,337.43
2019/11/8,331.04
2019/11/11,330.51
2019/11/12,327.25
2019/11/13,330.47
2019/11/14,331.7
2019/11/15,330.52
2019/11/18,330.98
2019/11/19,332.9
2019/11/20,333.6
2019/11/21,333.46
2019/11/22,332.47
2019/11/25,330.38
2019/11/26,330.1
2019/11/27,330.65
2019/11/28,329.9
2019/11/29,330.67
2019/12/2,330.83
2019/12/3,331.82
2019/12/4,338
2019/12/5,336.09
2019/12/6,334.22
2019/12/9,331.92
2019/12/10,332
2019/12/11,332.38
2019/12/12,334.11
2019/12/13,330.34
2019/12/16,333.6
2019/12/17,333.38
2019/12/18,333.85
2019/12/19,333.48
2019/12/20,334.2
2019/12/23,335.9
2019/12/24,337.05
2019/12/25,338.57
2019/12/26,339.12
2019/12/27,340.73
2019/12/30,340.53
2019/12/31,342.57
2020/1/2,341.57
2020/1/3,346.77
2020/1/6,354.5
2020/1/7,351.25
2020/1/8,357.39
2020/1/9,345.43
2020/1/10,346.5
2020/1/13,346.12
2020/1/14,341.88
2020/1/15,344.73
2020/1/16,345.37
2020/1/17,344.78
2020/1/20,345.02
2020/1/21,348.35
2020/1/22,345.3
2020/1/23,347.4
2020/2/3,356.68
2020/2/4,353.6
2020/2/5,351.04
2020/2/6,349
2020/2/7,351.22
2020/2/10,352.2
2020/2/11,351.53
2020/2/12,350.4
2020/2/13,352.83
2020/2/14,353.99
2020/2/17,355.08
2020/2/18,356.93
2020/2/19,361.2
2020/2/20,362
2020/2/21,367.66
2020/2/24,376.16
2020/2/25,369.2
2020/2/26,371.36
2020/2/27,371.99
2020/2/28,366.53
2020/3/2,358.52
2020/3/3,357.78
2020/3/4,365.88
2020/3/5,365.43
2020/3/6,372.95
2020/3/9,371.19
2020/3/10,366.53
2020/3/11,368.27
2020/3/12,365.09
2020/3/13,354.75
2020/3/16,345.07
2020/3/17,331.74
2020/3/18,338
2020/3/19,333.15
2020/3/20,339.21
2020/3/23,337.87
2020/3/24,355.86
2020/3/25,363.87
2020/3/26,362
2020/3/27,365.8
2020/3/30,363.21
2020/3/31,364.5
2020/4/1,356
2020/4/2,358.47
2020/4/3,362.3
2020/4/7,372.8
2020/4/8,369.69
2020/4/9,369.96
2020/4/10,373.39
2020/4/13,371.45
2020/4/14,377.19
2020/4/15,375.66
2020/4/16,377.38
2020/4/17,370.61
2020/4/20,370.12
2020/4/21,373.02
2020/4/22,373
2020/4/23,379.25
2020/4/24,381.84
2020/4/27,379.92
2020/4/28,376.8
2020/4/29,378.03
2020/4/30,380.72
2020/5/6,379.7
2020/5/7,378.02
2020/5/8,382.68
2020/5/11,381.12
2020/5/12,380.32
2020/5/13,380.89
2020/5/14,383.08
2020/5/15,388.91
2020/5/18,398.16
2020/5/19,392
2020/5/20,396.45
2020/5/21,392.56
2020/5/22,391.72
2020/5/25,391.2
2020/5/26,393.36
2020/5/27,389.11
2020/5/28,392.38
2020/5/29,391.68
2020/6/1,395.76
2020/6/2,395
2020/6/3,391.8
2020/6/4,387.05
2020/6/5,388.83
2020/6/8,383.7
2020/6/9,384.5
2020/6/10,388.26
2020/6/11,390.92
2020/6/12,391.41
2020/6/15,389.84
2020/6/16,389.67
2020/6/17,390.45
2020/6/18,389.31
2020/6/19,390.75
2020/6/22,394.89
2020/6/23,394.3
2020/6/24,396.64
2020/6/29,397.34
2020/6/30,398.34
2020/7/1,399.98
2020/7/2,396.36
2020/7/3,397.65
2020/7/6,396.75
2020/7/7,397.34
2020/7/8,399.35
2020/7/9,401.95
2020/7/10,397.82
2020/7/13,400.61
2020/7/14,399.8
2020/7/15,400.53
2020/7/16,399.38
2020/7/17,396.72
2020/7/20,398.58
2020/7/21,400.83
2020/7/22,410.8
2020/7/23,412.55
2020/7/24,416
2020/7/27,426.01
2020/7/28,425.62
2020/7/29,427.46
2020/7/30,424
2020/7/31,428.01
2020/8/3,427.04
2020/8/4,427.32
2020/8/5,437.59
2020/8/6,442.46
2020/8/7,446.48
2020/8/10,441.09
2020/8/11,432
2020/8/12,405.81
2020/8/13,412.5
2020/8/14,408.79
2020/8/17,418.78
2020/8/18,429.04
2020/8/19,425.16
2020/8/20,414.31
2020/8/21,414.78
2020/8/24,412.23
2020/8/25,413.13
2020/8/26,412.66
2020/8/27,417.14
2020/8/28,417.1
2020/8/31,419.33
2020/9/1,423.01
2020/9/2,419.14
2020/9/3,412.5
2020/9/4,413
2020/9/7,413.29
2020/9/8,413.9
2020/9/9,413.3
2020/9/10,416.42
2020/9/11,415.46
2020/9/14,415.48
2020/9/15,417
2020/9/16,416
2020/9/17,412.68
2020/9/18,414.79
2020/9/21,414.5
2020/9/22,404.99
2020/9/23,400.95
2020/9/24,394
2020/9/25,399.8
2020/9/28,399.2
2020/9/29,403.5
2020/9/30,403.6
2020/10/9,404.04
2020/10/12,408.28
2020/10/13,406.76
2020/10/14,402.08
2020/10/15,402.29
2020/10/16,403.32
2020/10/19,403.87
2020/10/20,401.97
2020/10/21,403.6
2020/10/22,403.51
2020/10/23,402.38
2020/10/26,401.02
2020/10/27,403.93
2020/10/28,404.55
2020/10/29,399.05
2020/10/30,396.57
2020/11/2,399.69
2020/11/3,401.55
2020/11/4,402.38
2020/11/5,402.87
2020/11/6,407.02
2020/11/9,407.41
2020/11/10,395.96
2020/11/11,399.53
2020/11/12,394.32
2020/11/13,395.19
2020/11/16,395.04
2020/11/17,394.94
2020/11/18,392.46
2020/11/19,390.87
2020/11/20,391.3
2020/11/23,391.4
2020/11/24,382.66
2020/11/25,378.3
2020/11/26,378.62
2020/11/27,378.45
2020/11/30,368.26
2020/12/1,372.1
2020/12/2,377.75
2020/12/3,381.62
2020/12/4,381.91
2020/12/7,381.64
2020/12/8,387
2020/12/9,384.62
2020/12/10,381
2020/12/11,382.36
2020/12/14,380.57
2020/12/15,383.52
2020/12/16,385.93
2020/12/17,388.1
2020/12/18,390.61
2020/12/21,396.3
2020/12/22,389.5
2020/12/23,388.7
2020/12/24,389.51
2020/12/25,391.92
2020/12/28,391.6
2020/12/29,389.55
2020/12/30,390
2020/12/31,392.41
